SKU,Retail Price ,Wholesale Price,UPC,Quantity,Item Size,Name,URL,Brand,Product Category,Item Type
291577,4,3.5,,24,0.05 OZ,L'ARTISAN PARFUMEUR ONDE SENSUELLE by L'Artisan Parfumeur,https://www.fragrancenet.com/l%27artisan-parfumeur-onde-sensuelle-perfume/l%27artisan-parfumeur/womens-fragrances/wf/en_US/24594,L'ARTISAN PARFUMEUR ONDE SENSUELLE,Fragrance,Fragrances
292513,29.99,17,819029015861,24,3.4 OZ,OP BEACH PARADISE by Ocean Pacific,https://www.fragrancenet.com/op-beach-paradise-perfume/ocean-pacific/womens-fragrances/wf/en_US/29081,OP BEACH PARADISE,Fragrance,Fragrances
293088,175,118.5,3432240024527,4,2.5 OZ,CARTIER L'HEURE FOLLE X by Cartier,https://www.fragrancenet.com/cartier-l%27heure-folle-x-fragrance/cartier/womens-fragrances/wf/en_US/29212,CARTIER L'HEURE FOLLE X,Fragrance,Fragrances
293206,18,5.5,8001090592958,1,5 OZ,OLD SPICE by Shulton,https://www.fragrancenet.com/old-spice-cologne/shulton/mens-fragrances/mf/en_US/01794,OLD SPICE,Fragrance,Bath & Body
293231,68,25.5,3525801654919,21,5.07 OZ,Thalgo by Thalgo,https://www.fragrancenet.com/thalgo-skin-care/anti-aging/thalgo/facial/sc/en_US/23262,Thalgo,Skincare,Day Care
293299,6.5,6.5,769360023417,1,N/A,MEDITATION AROMATHERAPY by Mediation Aromatherapy,https://www.fragrancenet.com/meditation-aromatherapy-aromatherapy/mediation-aromatherapy/essential-oils/at/en_US/23732,MEDITATION AROMATHERAPY,Aromatherapy,Aromatherapy
182552,52,38.5,3346130009764,24,5 OZ,TERRE D'HERMES by Hermes,https://www.fragrancenet.com/terre-d%27hermes-cologne/hermes/mens-fragrances/mf/en_US/09143,TERRE D'HERMES,Fragrance,Bath & Body
182695,121.5,99,3365440358300,13,3 OZ,PARISIENNE by Yves Saint Laurent,https://www.fragrancenet.com/parisienne-perfume/yves-saint-laurent/womens-fragrances/wf/en_US/20786,PARISIENNE,Fragrance,Fragrances
184449,52,42.5,716170041599,13,0.4 OZ,Bobbi Brown by Bobbi Brown,https://www.fragrancenet.com/bobbi-brown-Makeup/bobbi-brown/Cosmetics/cos/en_US/10757,Bobbi Brown,Makeup,Blush & Cheek
184517,66,31.5,3346470403055,1,0.1 OZ,GUERLAIN by Guerlain,https://www.fragrancenet.com/guerlain-Makeup/guerlain/Cosmetics/cos/en_US/01099,GUERLAIN,Makeup,Powder
185492,13,7.5,3616300593578,18,3 OZ,Philosophy by Philosophy,https://www.fragrancenet.com/philosophy-skin-care/anti-aging/philosophy/facial/sc/en_US/08208,Philosophy,Skincare,Day Care
